Slug,Name,URL,Category,Subcategories,Rating,Reviews,Installs,Developer,Description,Has Free Version,Icon URL,Last Updated,Scraped At
starshipit-shipping-tracking,Starshipit shipping automation,https://www.wix.com/app-market/web-solution/starshipit-shipping-tracking,eCommerce,shipping--delivery:Shipping & Delivery,4.3,6,,Starshipit30 day,Automate your fulfilment and shipping process,true,https://static.wixstatic.com/media/9acd1d_6dd88854d3ad45a48a637bfea5dfc9d3~mv2.png/v1/fill/9acd1d_6dd88854d3ad45a48a637bfea5dfc9d3~mv2.png,,2025-07-06T21:56:24.864Z
netparcel,netParcel,https://www.wix.com/app-market/web-solution/netparcel,eCommerce,shipping--delivery:Shipping & Delivery,5,1,,netParcel,Get the best discounted shipping rates available,true,https://static.wixstatic.com/media/150138_6ddaeeb277874824ba105528194bbce6~mv2.png/v1/fill/150138_6ddaeeb277874824ba105528194bbce6~mv2.png,tracking status'sReal-time Rates at Checkout Provide your customers the best shipping optionsnetParcel allows you to combine pre-existing accounts with our outstanding full service. We make your life easier,2025-07-06T21:56:24.944Z
ils-indian-logistic-services,ILS Indian Logistics Services,https://www.wix.com/app-market/web-solution/ils-indian-logistic-services,Other,shipping--delivery:Shipping & Delivery,4.8,4,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""","Order Shipments, Tracking and Return management",true,https://static.wixstatic.com/media/cea58d_7bd11eb20dfe4c729d26780e94a3d000~mv2.png/v1/fill/cea58d_7bd11eb20dfe4c729d26780e94a3d000~mv2.png,,2025-07-06T21:56:25.109Z
geliver,Geliver,https://www.wix.com/app-market/web-solution/geliver,eCommerce,shipping--delivery:Shipping & Delivery,5,2,,Geliver A.Ş.,Manage your shipping process automatically,true,https://static.wixstatic.com/media/182b35_eaf39dace67a4912b33b49983fc6a584~mv2.png/v1/fill/182b35_eaf39dace67a4912b33b49983fc6a584~mv2.png,,2025-07-06T21:56:25.187Z
deliveron,Delivery Date,https://www.wix.com/app-market/web-solution/deliveron,eCommerce,shipping--delivery:Shipping & Delivery,5,4,,Phoe Design14 day,Select a delivery or pick-up date in checkout,true,https://static.wixstatic.com/media/ba22eb_a560052a88354055b8674a5c6c2ba522~mv2.png/v1/fill/ba22eb_a560052a88354055b8674a5c6c2ba522~mv2.png,,2025-07-06T21:56:25.288Z
ups-shipping-label-printing,UPS Shipping & Label Printing,https://www.wix.com/app-market/web-solution/ups-shipping-label-printing,eCommerce,shipping--delivery:Shipping & Delivery,3.8,4,,Presto-Changeo10 day,Real-time shipping rates and shipment generation,true,https://static.wixstatic.com/media/56c7a4_aa9156d0755e457bbf41fe61818fea37~mv2.png/v1/fill/56c7a4_aa9156d0755e457bbf41fe61818fea37~mv2.png,,2025-07-06T21:56:25.372Z
manuable,Manuable,https://www.wix.com/app-market/web-solution/manuable,Other,shipping--delivery:Shipping & Delivery,5,2,,Manuable,Improve your logistics,true,https://static.wixstatic.com/media/423067_ab348cab250f40bf979cf77a71fd8f5f~mv2.jpeg/v1/fill/423067_ab348cab250f40bf979cf77a71fd8f5f~mv2.jpeg,shipping quotesAutomatic billing serviceShipping insurerMANUABLE logistics for business Synchronize orders and orders from your store. Quote your shipments with various packages and choose which is the best option. Make local,2025-07-06T21:56:25.456Z
cheetah-delivery,Cheetah Delivery,https://www.wix.com/app-market/web-solution/cheetah-delivery,Other,shipping--delivery:Shipping & Delivery,1,2,,ShippinGo30 day,Integrate Cheetah Delivery to your store,true,https://static.wixstatic.com/media/f1173b_02cac2785f7d49488a32e3f8d948bbca~mv2.jpg/v1/fill/f1173b_02cac2785f7d49488a32e3f8d948bbca~mv2.jpg,,2025-07-06T21:56:25.561Z
ecpay-logistics-taiwan,ECPay Logistics Taiwan,https://www.wix.com/app-market/web-solution/ecpay-logistics-taiwan,Design & Content,shipping--delivery:Shipping & Delivery,1,1,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Use automated logistics for online stores,true,https://static.wixstatic.com/media/bec40d_054dbe81ac4044bca1abd96b496329e3~mv2.png/v1/fill/bec40d_054dbe81ac4044bca1abd96b496329e3~mv2.png,,2025-07-06T21:56:25.641Z
zigzag-delivery-official,ZigZag Delivery official,https://www.wix.com/app-market/web-solution/zigzag-delivery-official,Other,shipping--delivery:Shipping & Delivery,3,2,,ZigZag,Sync your store orders with zigzag delivery,true,https://static.wixstatic.com/media/6b73e9_1659274d03734d6ca12b20ff906bf082~mv2.jpg/v1/fill/6b73e9_1659274d03734d6ca12b20ff906bf082~mv2.jpg,,2025-07-06T21:56:25.718Z
fedex-shipping-label-printing,FedEx Shipping Label Printing,https://www.wix.com/app-market/web-solution/fedex-shipping-label-printing,eCommerce,shipping--delivery:Shipping & Delivery,5,3,,Presto-Changeo10 day,Real-time shipping rates and shipment generation,true,https://static.wixstatic.com/media/56c7a4_077f19f33e764905a44b317d1b496f0f~mv2.png/v1/fill/56c7a4_077f19f33e764905a44b317d1b496f0f~mv2.png,,2025-07-06T21:56:25.801Z
shipink,Shipink,https://www.wix.com/app-market/web-solution/shipink,Other,shipping--delivery:Shipping & Delivery,4.2,5,,Shipink,Ship your orders with any carriers from Turkey,true,https://static.wixstatic.com/media/449b43_86dce1818080435b8a0a427260418f68~mv2.png/v1/fill/449b43_86dce1818080435b8a0a427260418f68~mv2.png,,2025-07-06T21:56:25.877Z
skydropx,Skydropx,https://www.wix.com/app-market/web-solution/skydropx,Other,shipping--delivery:Shipping & Delivery,5,5,,Skydropx,Improve your logistics with one app,true,https://static.wixstatic.com/media/7ea95b_7a6950a8dbcc451a9b80096b124ed250~mv2.png/v1/fill/7ea95b_7a6950a8dbcc451a9b80096b124ed250~mv2.png,,2025-07-06T21:56:25.959Z
ups-rates,UPS Shipping Rates,https://www.wix.com/app-market/web-solution/ups-rates,eCommerce,shipping--delivery:Shipping & Delivery,4,2,,Pavel Web Design LLC10 day,UPS Live Shipping Rates,true,https://static.wixstatic.com/media/bea06a_449d55facf06422ca14ebbd730c8ac34~mv2.png/v1/fill/bea06a_449d55facf06422ca14ebbd730c8ac34~mv2.png,,2025-07-06T21:56:26.039Z
trackeasy,TrackEasy,https://www.wix.com/app-market/web-solution/trackeasy,Other,shipping--delivery:Shipping & Delivery,5,2,,TrackEasy,"Fast add tracking, easy create fulfillments",true,https://static.wixstatic.com/media/ceb640_619da2ae4d1a45c4a8d0bd5dfe983d10~mv2.png/v1/fill/ceb640_619da2ae4d1a45c4a8d0bd5dfe983d10~mv2.png,,2025-07-06T21:56:26.120Z
